user_idx,item_idx
4727,384
34175,384
32933,384
18930,384
23450,384
27019,384
5335,384
1471,384
31742,384
30463,384
28924,384
35445,384
28924,384
34296,384
35903,384
6223,384
9611,384
34799,384
28557,384
36035,384
2113,384
9597,384
14755,384
24842,384
27968,384
21655,384
30194,384
33252,384
20484,384
25522,384
7567,384
27031,384
3384,384
36619,384
7941,384
20481,384
36949,384
33931,384
2237,384
29997,384
12195,384
7358,384
5380,384
28518,384
24358,384
21782,384
5356,384
29220,384
35803,384
27077,384
36319,384
880,384
24359,384
30443,384
7584,384
19128,384
6140,384
24303,384
4470,384
36967,384
3834,384
18900,384
20598,251
15724,251
36608,251
16658,251
35025,251
20107,251
18062,251
11340,251
17974,251
19263,251
33357,251
20107,251
29728,251
1183,251
12440,251
24001,251
2041,251
30154,251
15868,251
9896,251
104,251
21610,251
22811,251
21561,251
15301,251
17266,251
20073,251
8494,251
3951,251
10686,251
24526,251
7247,251
4071,56
11731,56
21039,56
14877,56
2990,56
7597,56
1257,56
25420,56
1474,56
25169,56
2299,56
24348,56
11805,56
19004,56
9073,56
17718,56
28084,56
25329,56
30677,56
26902,56
29745,56
17279,56
10128,56
25608,56
9588,56
29816,56
30628,56
2570,56
24893,56
27926,56
11118,56
9390,56
20186,56
28568,56
24818,56
23275,56
28374,56
20718,56
7113,56
4968,56
21318,56
24094,56
7978,56
1117,45
6869,45
7253,45
18124,45
31581,45
13987,45
27351,45
28296,45
22638,45
23633,45
7955,45
17115,45
14889,299
30530,299
30530,299
36515,299
32061,299
36515,299
14889,299
15850,299
21735,299
8904,299
29643,299
8904,299
21282,299
35950,299
15987,299
35950,299
15987,299
22896,299
1907,299
10560,299
26534,299
10560,299
15256,299
32099,299
15860,299
15551,299
25473,299
9083,299
33323,299
35099,299
28048,299
36468,299
31221,299
21162,299
1055,299
1055,299
21439,299
25473,299
22317,299
27893,299
27893,299
24651,299
34292,299
12583,299
22928,299
35613,299
12583,299
21132,299
24462,299
9090,299
22317,299
21132,299
21612,299
14230,299
27050,299
21612,299
27050,299
35796,299
35796,299
33068,299
16339,299
16253,685
34092,685
28133,685
16774,685
10536,685
35525,685
35687,685
7636,685
37041,685
25080,685
35687,685
7636,685
7636,685
7820,685
28904,685
29623,685
29017,685
5306,685
36387,685
37041,685
18516,685
18516,685
24750,685
28674,685
34308,685
28454,685
25935,685
21076,685
10339,685
4685,685
23369,685
27285,685
21014,685
16791,685
34824,685
33931,685
15675,685
15675,685
36466,685
24236,685
22425,685
4963,685
21121,685
34917,685
26739,685
26828,685
32598,685
2651,685
36163,685
29034,685
34831,685
22935,685
8776,685
24121,685
12049,685
15179,685
16600,685
6256,685
34502,685
14391,685
28427,685
30527,685
13807,685
15418,685
7404,685
26181,685
34716,685
14851,685
19465,685
13541,685
470,685
27523,685
32508,685
30428,685
32508,685
4399,685
15842,685
29111,685
30428,685
30812,685
33912,685
35309,685
27388,685
89,621
36383,621
14125,621
28450,621
32378,621
35616,621
9566,621
17934,621
243,621
10603,621
1618,621
16670,621
30805,621
33934,621
27842,621
10664,621
5287,621
18339,621
26819,621
11922,621
3079,621
868,621
37077,621
11922,621
3877,621
4429,621
25202,621
14126,621
37048,621
29430,621
36676,621
1094,621
12541,621
1256,621
20665,621
25601,621
30462,621
19140,621
12913,621
1953,621
27894,621
15717,621
28831,621
31854,621
35032,621
24653,621
34882,621
27811,621
13181,621
6828,621
15028,621
31089,621
21719,621
24116,621
15418,621
33664,621
36749,621
14187,621
13755,621
36473,621
33920,428
27958,428
6804,428
21736,428
31952,428
16915,428
26292,428
30983,428
5612,428
824,428
32249,428
29967,428
32371,428
25363,428
378,428
20565,428
36808,428
34941,428
35913,428
7528,428
36047,428
31426,428
7160,428
27270,428
30074,428
5455,428
10554,428
314,428
23105,428
35414,428
24218,428
31424,428
14938,428
4831,428
3777,428
9376,428
22601,428
31439,428
31906,428
32048,428
11473,428
15412,428
23686,428
35314,428
35435,428
12051,428
13309,428
25247,428
32664,428
36667,428
3917,428
30160,428
25072,428
5594,428
21541,742
8150,742
6383,742
7478,742
33824,742
28824,742
22694,742
21018,742
19066,742
13919,742
15239,742
31500,742
34581,742
5972,742
22084,742
21246,742
23516,742
21246,742
6590,742
3802,306
5052,306
6814,306
32636,306
15147,306
5950,306
13880,306
36725,306
9142,306
1680,306
17865,306
7402,306
7163,306
19924,306
5127,306
32417,306
36072,306
13408,306
18159,306
818,306
6030,306
14188,306
67,306
7607,306
29715,306
29320,306
30456,306
19201,306
29485,306
7584,306
5637,306
14338,306
28988,306
36169,306
20241,306
29383,306
17784,306
2549,306
25372,306
8712,306
17859,306
32887,306
33550,306
32371,306
27115,306
1931,306
7366,306
8517,611
25122,611
34136,611
10716,611
4385,611
27275,611
16349,611
4979,611
29164,611
481,611
4094,611
4177,611
36953,611
10376,611
21726,611
22716,611
36241,611
6756,611
5442,611
36985,611
27456,611
3057,611
16349,611
18133,611
10513,611
23573,611
1406,611
17815,611
740,611
33038,611
21491,611
3024,611
25107,611
28121,611
