user_idx,item_idx
4694,678
31483,678
32035,678
16356,678
16356,678
21721,678
25013,678
29781,678
24839,678
22726,678
18558,678
9108,678
8126,678
4140,678
20529,678
23866,678
2703,678
4406,678
18503,678
14847,678
30212,678
29469,678
21286,678
4014,678
13839,678
13839,678
31548,678
21286,678
19726,678
4391,678
2385,678
18597,678
18419,678
13839,678
30286,678
23400,678
23474,678
28377,678
2350,678
31306,678
25315,678
30218,678
20157,678
20157,678
7730,678
21184,678
10634,678
13392,678
14676,678
5535,678
29945,678
12688,678
24817,678
26591,678
20041,678
12181,678
13601,678
6972,678
6546,678
28813,678
22931,678
32398,678
30122,678
13104,678
17160,678
11947,678
421,678
24063,678
28299,678
26511,678
28299,678
3893,678
13982,678
25381,678
13982,678
26511,678
23088,678
26837,678
29456,678
23484,678
30616,678
23947,678
80,615
31479,615
12452,615
24835,615
28190,615
29878,615
30863,615
8412,615
3053,615
15838,615
220,615
31314,615
9351,615
1428,615
14741,615
26831,615
29471,615
24323,615
9411,615
4678,615
16202,615
23466,615
10522,615
